paper_id,title,BART_ROUGE1,BART_ROUGE2,BART_ROUGEL,BART_BERTScore,T5_ROUGE1,T5_ROUGE2,T5_ROUGEL,T5_BERTScore,BART_summary,T5_summary
SJ1Xmf-Rb,FearNet: Brain-Inspired Model for Incremental Learning,0.3548387096774193,0.16666666666666669,0.2903225806451613,0.8636441826820374,0.2807017543859649,0.0,0.17543859649122806,0.8760340809822083," FearNet is a generative model that does not store previous examples, making it memory efficient . FearNet achieves state-of-the-art performance at incremental class learning on image (CIFAR-100, CUB-200) and audio classification (AudioSet) benchmarks .",fearNet achieves state-of-the-art performance at incremental learning on image and audio datasets . the network can revisit previous memories during incremental training without the need to store previous training examples .
S1xzyhR9Y7,Improving Sentence Representations with Multi-view Frameworks,0.1917808219178082,0.08450704225352113,0.13698630136986303,0.8687481880187988,0.13559322033898305,0.07017543859649124,0.13559322033898305,0.8586059212684631," Multi-view learning can provide self-supervision when different views are available of the same data . We present two multi-view frameworks for learning sentence representations in an unsupervised fashion . One framework uses a . generative objective and the other one adopts a discriminative objective . In these models, a classifier is learnt on top of the encoders to distinguish adjacent sentences from those that are not .",multi-view learning can provide self-supervision when different views are available of the same data . distributional similarity BID19 consolidated this idea by stating the meaning of a word can be determined by the company it has . the linear/loglinear models have excelled at capturing attributional similarities of words and sentences .
HJDUjKeA-,Learning objects from pixels,0.5970149253731343,0.4615384615384615,0.5671641791044777,0.9206134676933289,0.380952380952381,0.09836065573770492,0.25396825396825395,0.8647048473358154, We show how discrete objects can be learnt in an unsupervised fashion from pixels . We construct a differentiable mapping from an image to a discrete tabular list of objects . This gives the first reinforcement learning agent for Atari with an interpretable object representation .,"each object consists of a distinctiable position, feature vector, and scalar presence value that allows the representation to be learnt using an attention mechanism . this mapping gives the first reinforcement learning agent for Atari with an interpretable object representation ."
BJgLg3R9KQ,Learning what and where to attend,0.19753086419753085,0.05063291139240507,0.1234567901234568,0.8558589220046997,0.21276595744680848,0.08888888888888889,0.21276595744680848,0.8507545590400696," Recent gains in visual recognition have originated from the inclusion of attention mechanisms in deep convolutional networks . These networks learn where to attend using only a weak form of supervision derived from image class labels . Here, we demonstrate the benefit of using stronger supervisory signals by teaching DCNs to attend to image regions that humans deem important for object recognition .",attention mechanisms in deep convolutional networks (DCNs) are optimized for object recognition . they learn where to attend using only weak supervision derived from image class labels .
BklpOo09tQ,EFFICIENT TWO-STEP ADVERSARIAL DEFENSE FOR DEEP NEURAL NETWORKS,0.06349206349206349,0.0,0.031746031746031744,0.834291398525238,0.20338983050847456,0.03508771929824561,0.1694915254237288,0.8529037237167358," In recent years, deep neural networks have demonstrated outstanding performance in machine learning tasks . But researchers have found that they are susceptible to attacks by adversarial examples . The vulnerability is ascribed to the linearity of the model BID2 ), low flexibility BID1 or flatness/curvedness of the decision boundaries BID10 .","adversarial training is a well known defense to improve robustness of the model against adversarials attacks . however, this robustness is only effective to the same attack method . several studies attempted to explain the underlying causes of the susceptibility of deep neural networks toward adversary examples ."
BJLmN8xRW,Character Level Based Detection of DGA Domain Names,0.16091954022988506,0.07058823529411765,0.16091954022988506,0.8524892330169678,0.15873015873015872,0.03278688524590164,0.15873015873015872,0.8635721802711487," Malware is software that infects computers in order to perform unauthorized malicious activities . Malware on infected machines can run a Domain Generation Algorithm that generates hundreds or thousands of domains automatically . The malware then attempts at resolving each one of these domains with its local DNS server . All five models perform equally well, catching around 97-98% of malicious domain names against a false positive rate of 0.001 .",a random forest based on human defined linguistic features achieves a recall of only 83% against the same 0.001 false positive rate . the classification task of distinguishing between benign domain names and those generated by malware has become a central topic in information security .
rkMlSnAqYX,Mitigating Bias in Natural Language Inference Using Adversarial Learning,0.36923076923076925,0.12698412698412698,0.27692307692307694,0.8722172379493713,0.19753086419753085,0.02531645569620253,0.1234567901234568,0.8612155318260193," We propose a framework for building robust models by using adversarial learning to encourage models to learn latent, bias-free representations . We test our approach in a Natural Language Inference (NLI) scenario, and show that our adversarially-trained models learn robust representations that ignore known dataset-specific biases .",a variety of neural network models have been proposed for solving NLU tasks . recent work showed that the datasets these models are trained on often contain biases that allow models to achieve non-trivial performance without possibly learning the relationship between the texts . the existence of annotation artifacts in large-scale NLI datasets is detrimental to making progress in deep learning research for NLU .
HkgEQnRqYQ,RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space,0.16393442622950818,0.0,0.09836065573770492,0.8554968237876892,0.4,0.2631578947368421,0.4,0.9028462171554565," RotatE model defines each relation as a rotation from the source entity to the target entity in the complex vector space . The new approach is able to model and infer various relation patterns including: symmetry/antisymmetry, inversion, and composition . No existing models are capable of modeling all three relation patterns .","the proposed model is scalable, but also outperform existing state-of-the-art models for link prediction . knowledge graph embedding methods have been shown to be scalable and effective ."
rkeDJ04Mf,HyperNetworks with statistical filtering for defending adversarial examples,0.1111111111111111,0.0,0.08333333333333333,0.8516521453857422,0.2456140350877193,0.0,0.10526315789473682,0.8722997307777405, Deep learning algorithms have been known to be vulnerable to adversarial perturbations in various tasks such as image classification . This problem was addressed by employing several defense methods for detection and rejection of particular types of attacks . We propose a new type of HyperNetwork to employ statistical properties of input data and features for computation of statistical adaptive maps .,"a new type of hyperNetwork is proposed to improve robustness of convolutional neural networks to adversarial attacks by using data dependent adaptive convolution kernels . the proposed method enables CNNs to spontaneously defend against different types of attacks, e.g. attacks generated by Gaussian noise ."
HyxnZh0ct7,Meta-learning with differentiable closed-form solvers,0.41975308641975306,0.20253164556962025,0.2469135802469136,0.8772019147872925,0.326530612244898,0.125,0.14285714285714288,0.8678282499313354," R2-D2 proposes novel technique that does allow per-episode adaptation while at the same time being fast TAB6 and achieving strong performance TAB0 . Key innovation is to use simple (and differentiable) solver such as ridge regression within the inner loop, which requires back-propagating through learning problems .","the main idea is to teach a deep network to use standard machine learning tools, such as ridge regression as part of its own internal model . this requires back-propagating errors through the solver steps . by using the woodbury identity we can make the small number of examples work to our advantage . some methods tackling few-shot learning operate within the general paradigm of metalearning ."
